consunit;area km²
Floresta Nacional de Cristópolis;46,18
Reserva Extrativista Mata Grande;23,15
Área de Relevante Interesse Ecológico Serra Bonita de Adelandia;0,85
Area de Proteção Ambiental Barreiro Rico;3,14
APA Fazenda Nova;11,18
APA Serra da Ibiapaba;758,10
Apa do Lago Paranoá;1,10
RPPN Douradinho;0,17
APA do Limoeiro;24,36
Arie Santuário de Vida Silvestre do Riacho Fundo;0,07
Reserva Biológica Culuene;1,29
APA Novo Brasil;0,13
Parque Nacional da Chapada dos Veadeiros;28,63
Refúgio de Vida Silvestre Corixão da Mata Azul;14,44
Estação Ecológica de Itapeva;0,00
Parque Nacional da Chapada dos Guimarães;3,41
APA de São Desidério;19,61
RPPN Floresta das Aguas Perenes;0,47
Parque Estadual do João Leite;1,82
Arie do Bosque;0,00
Parque Estadual do Cantão;10,62
Área de Relevante Interesse Ecológica Pé-De-Gigante;0,00
Parque Estadual Águas do Cuiabá;0,41
RPPN Vale do Sol Ii;0,06
APA dos Pireneus;16,70
RPPN Flor do Cerrado Ii;0,00
Reserva Particular do Patrimonio Natural Fazenda Lagoa;0,08
APA da Foz do Rio das Preguiças - Pequenos Lençóis - Região Lagunar Adjacente;271,68
APA da Bacia Hidrográfica do Rio Uberaba;49,84
Parque Natural Municipal Pedro Geraldo de Menezes;0,00
RPPN Estância Caiman;0,17
Parque Estadual Veredas do Peruaçu;0,04
APA Inaciolândia;0,00
RPPN Cava Ii;0,00
RPPN Cachoeira das Pedras Bonitas;0,00
Parque Natural Municipal das Capivaras;0,00
APA Tanquã-Rio Piracicaba;0,87
APA São Patricio;0,09
Estação Ecológica de Santa Bárbara;0,69
Parque Estadual de Montezuma;0,24
APA Delta do Parnaiba;204,95
Apa de Cafuringa;31,15
Parque Natural Municipal Riacho Estrela;0,00
APA do Encantado;4,33
APA Torre de Pedra;0,40
APA Municipal do Aricá-Açu;135,27
Área de Relevante Interesse Ecológico Águas de São João;0,00
Parque Nacional de Sete Cidades;0,02
APA Lago de Palmas;119,16
Parque Estadual Matas do Segredo;0,00
Parque Estadual de Porto Ferreira;0,00
RPPN Santa Angélica;0,00
RPPN Ponte de Pedra;0,00
Parque Estadual do Lajeado;5,04
Parque Natural Municipal de Aporé;0,00
RPPN Fazenda São Pedro da Barra;0,00
Monumento Natural Morro de Santo Antônio;0,13
Estação Ecológica de Paranapanema;0,00
Parque Estadual Mãe Bonifácia;0,01
Parque Estadual dos Pirineus;1,11
Estação Ecológica da Serra das Araras;0,68
Arie do Córrego Cabeceira do Valo;0,00
Parque Estadual da Lapa Grande;17,10
Parque Estadual de Paraúna;1,07
RPPN Buraco das Araras;0,02
RPPN Reserva Fazenda Recanto das Águas Claras;0,00
RPPN Flor do Cerrado Iii;0,28
Parque Estadual da Serra Dourada;45,83
Area de Protecao Ambiental da Bacia do Corrego Capao Grande;1,60
Refúgio de Vida Silvestre Aimorés;0,20
Monumento Natural Municipal Serra do Bom Jardim;4,96
APA dos Morros Garapenses;774,21
RPPN Catingueiro;0,00
RPPN Cabeceira do Prata;0,00
Parque Estadual Dom Osório Stoffel;2,43
RPPN Rancho Tucano;0,01
RPPN Fundão;0,00
RPPN Ponte de Pedra;0,00
APA Foz do Rio Santa Tereza;126,42
Estação Ecológica de Itirapina;0,04
Parque Natural Municipal das Sucupiras;0,00
Reserva Particular Dopatrimonio Natural Gavião de Penacho;0,11
RPPN Sítio Grande;0,00
RPPN Flor do Cerrado I;0,00
Reserva Extrativista Lago do Cedro;15,92
Estação Ecológica de Assis;0,05
APA Panamá;6,97
RPPN Nascentes do Rio Tocantins;0,00
APA Palmelo;0,37
Área de Preservação Ambiental do Córrego da Lagoa;0,44
Parque Estadual das Furnas do Bom Jesus;0,02
RPPN Reserva Fazenda Bonito de Cima Iv;0,00
RPPN Porto do Ifé;0,02
APA Serra da Tabatinga;263,68
Floresta Estadual Pederneiras;0,00
Arie Parque Jk;1,05
Arie da Vila Estrutural;0,06
Parque Natural Municipal Entre Trevos;0,06
RPPN Xodó do Vô Ruy;0,06
RPPN Veredas do Pratudinho;0,23
Área de Relevante Interesse Ecológico do Lago dos Buritis;0,00
RPPN Soluar;0,00
Parque Estadual Águas Lindas;1,97
APA Serra da Jibóia;21,09
RPPN Maria Batista;0,00
RPPN Reserva Fazenda Hr - Douradinho;0,02
Estação Ecológica de Acauã;2,76
Parque Estadual do Jalapão;4,15
APA da Chapada dos Guimarães;189,22
Floresta Nacional da Mata Grande;0,35
RPPN Nascentes do Rio Araguaia;0,00
RPPN Recanto da Serra Negra;0,00
APA Serra do Lajeado;143,29
Arie Dom Bosco;0,01
RPPN Estância Mimosa;0,23
APA Lago de São Salvador do Tocantins, Paranã E Palmeirópolis;35,79
APA de Upaon-Açu / Miritiba / Alto Preguiças;1.175,27
Parque Estadual do Guartelá;0,00
Parque Estadual das Nascentes do Rio Taquari;10,10
Parque Natural Municipal do Pombo;1,02
RPPN Reserva Sabiá;0,00
RPPN Reserva Natural do Tombador;1,34
APA Castelandia;0,00
Floresta Estadual de Assis;1,96
Parque Natural Municipal Uirapuru;0,00
RPPN Córrego do Macaco;0,03
Estação Ecológica de Avaré;4,38
RPPN Capoeira do Boi;0,03
Area de Proteção Ambiental de Caiaponia;0,25
Parque Estadual de Águas Quentes;0,94
Arie Cruls;0,06
APA das Cabeceiras do Rio Cuiabá;910,18
APA do Planalto Central;376,56
